#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress
0.0	-36.31834797	0.01	9.2220286125
0.0	-36.30128978333334	0.015	13.823934641500001
0.0	-36.283294903333335	0.02	18.4200495855
0.0	-36.21752836333334	0.03	27.5307397105
0.0	-36.125949633333335	0.04	36.521053732999995
0.0	-36.00895595666667	0.05	45.350886145000004
0.0	-35.86699439	0.06	53.971298052
0.0	-35.700870116666664	0.07	62.338670978500005
0.0	-35.511133519999994	0.08	70.4090860795
0.0	-35.29898078666667	0.09000000000000001	78.1272239325
0.0	-35.06573755333333	0.1	85.44653722000001
0.0	-34.812136966666664	0.11	92.28930276300001
0.0	-34.53997846000001	0.12000000000000001	98.59438002300001
0.0	-34.25083175666666	0.13	104.26986783699999
0.0	-33.94665401333334	0.13999999999999999	109.2091752175
0.0	-33.630305410000005	0.15	113.212747096
0.0	-33.303884720000006	0.16	116.134999253
0.0	-32.97121604666667	0.16999999999999998	117.56745273400003
0.0	-32.63790426333333	0.18	116.41919523249999
0.0	-32.31609692	0.19	105.61003419200001
