#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress
-17.172428354814414	-38.81478705720253	0.01	15.002666220000002
-19.830824218108187	-39.206740079556816	0.015	20.469729796
-25.024708067043075	-39.97619765086648	0.02	25.674328850000002
-34.752064073014004	-41.438189697031355	0.03	35.32271831
-43.61020315140655	-42.79546394363384	0.04	44.006039058
-51.50350029210518	-44.028308591916364	0.05	51.79279451600001
-58.614033809548374	-45.16046722033204	0.06	58.749336048
-64.98162408100933	-46.19337448365344	0.07	64.944137345
-70.60433439955918	-47.12281417822133	0.08	70.433079418
-75.62638993761219	-47.96842962011547	0.09000000000000001	75.263112825
-80.03513996185873	-48.72445642332271	0.1	79.479703626
-83.85615750647915	-49.391712091855574	0.11	83.131846358
-87.12496781474513	-49.97285723413368	0.12000000000000001	86.26098172600001
-89.90560752536355	-50.47615905961419	0.13	88.90643106600001
-92.26568722446184	-50.910924136878506	0.13999999999999999	91.10919840700001
-94.2175880516348	-51.27681698491736	0.15	92.896446849
-95.75005945758582	-51.5690246116054	0.16	94.297122293
-96.9143130557703	-51.79491530033331	0.16999999999999998	95.3455811
-97.73307156309916	-51.956356490868735	0.18	96.061124453
-98.22583124114102	-52.05516410971284	0.19	96.47436347000001
-98.43683417415978	-52.09802366571681	0.19999999999999998	96.60393494600001
-98.38364864001045	-52.08678099991232	0.21	96.47013958600002
-98.05810446135762	-52.01772318806537	0.22	96.08983311700001
-97.48020471877021	-51.893457369909314	0.22999999999999998	95.48424785200001
-97.14470333169318	-51.82081553201972	0.24	94.65951783000001
