#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress
-17.240305001050405	-38.811152033696736	0.01	15.327291681
-20.007430047223753	-39.2131067310754	0.015	20.674310238000004
-25.285975165626677	-39.98166932364151	0.02	25.838958641
-35.19875497143103	-41.43569876813969	0.03	35.675868291
-44.547909730030746	-42.82021582452857	0.04	44.849420627
-53.136891488669114	-44.104498248334146	0.05	53.389468139
-61.14207697179415	-45.312981784044084	0.06	61.322998836000004
-68.58806375279084	-46.44765463416074	0.07	68.6721904
-75.47889074353233	-47.507612763301765	0.08	75.461789792
-78.77053762998409	-48.0163392148105	0.09000000000000001	81.71651004200001
-84.25859775140594	-48.88034054305675	0.1	87.428108675
-92.19921377845138	-50.133864662657544	0.11	92.646211736
-96.87170513150406	-50.87933873474124	0.12000000000000001	97.388716614
-101.16674464518233	-51.57070972488242	0.13	101.673917719
-105.03927386805019	-52.199584129185624	0.13999999999999999	105.51759825700002
-108.52484926966218	-52.77063085833764	0.15	108.938134159
-111.62517943013515	-53.28294877143457	0.16	111.951133289
-114.24512605128834	-53.7195796746298	0.16999999999999998	114.577870053
-116.48017690682525	-54.09533541933591	0.18	116.835991049
-118.43889093719162	-54.42740449158252	0.19	118.75047752200001
-120.0393251300092	-54.70096598163495	0.19999999999999998	120.312306726
-121.26515750429293	-54.91224253915847	0.21	121.546584971
-122.18561598310056	-55.072197851693865	0.22	122.46755085100001
-122.07605651028283	-55.052350711467255	0.22999999999999998	123.081099236
-122.26573353492346	-55.08672921665038	0.24	123.35095379700002
-122.87322572624574	-55.19441544908423	0.25	123.338869466
-122.58658406548459	-55.14284736017143	0.26	123.036245365
-121.9778190098405	-55.03249138721229	0.27	122.42967470200001
-121.57170817596148	-54.95867877468335	0.28	121.501520654
