#InternalPressure(GPa)	Enthalpy(eV)	Strain	Stress
-15.775179884983054	-38.601636320464095	0.01	13.639650463999999
-18.33915917823419	-38.974081910636876	0.015	19.051227524
-23.560221757598878	-39.73439877793059	0.02	24.302487363
-33.74339709057297	-41.2278696151399	0.03	34.302978336
-43.15572753909292	-42.62181960876112	0.04	43.661214382
-50.270352683256746	-43.68443045626658	0.05	52.38787397600001
-58.282112177426235	-44.89614165535054	0.06	60.424810538
-67.2261080371584	-46.257967898361834	0.07	67.81455816200001
-73.98513338780755	-47.297650273931026	0.08	74.536524847
-80.12300075994352	-48.25046364785174	0.09000000000000001	80.56241372
-85.55156404336547	-49.10093261730958	0.1	85.866034053
-89.58325936844886	-49.73775007942535	0.11	90.414851502
-93.05712394857538	-50.29244200093094	0.12000000000000001	94.0540979
-96.1171637538224	-50.78446260011223	0.13	96.74151785000001
-97.50372807798247	-51.009146860661396	0.13999999999999999	98.249096796
-97.10970063032111	-50.94384673458175	0.15	98.098556621
-96.40079749215865	-50.82717463320891	0.16	94.568338708
